glottocode	genus	confidence
araw1276	Antillean Arawakan	initial
isla1279		
gari1256	Antillean Arawakan	initial
isla1278		
mara1409		
tain1254		
uncl1528		
arub1238		
guaj1257		
para1316		
wayu1243	Guajiro-Paraujano	initial
uncl1521		
arai1239		
uiri1238		
cent2413		
cent2226		
pare1273		
pare1278		
enaw1238		
pare1272	Central Arawakan	initial
sara1331		
xing1249		
waur1246		
kust1238		
waur1245		
mehi1240		
waur1244	Central Arawakan	initial
yawa1261		
pali1279	Palikur	initial
japu1236		
icaa1241		
japu1237		
juma1250		
pass1250		
kais1242		
mepu1234		
nucl1764		
nort3362		
bani1258		
bani1259		
bani1255	Japura-Colombia	initial
curr1243	Japura-Colombia	initial
tari1256	Japura-Colombia	initial
cabi1241		
piap1247		
acha1250	Japura-Colombia	initial
piap1246	Japura-Colombia	initial
ware1256		
mand1448		
ware1255		
yucu1252		
resi1247	Japura-Colombia	initial
uain1239		
yucu1253	Japura-Colombia	initial
negr1239		
arua1264		
bahu1238		
cari1286		
cari1280		
mana1299		
xiri1243	Negro-Roraima	initial
mapi1253		
mapi1252		
wapi1252		
aroa1234		
para1324		
uncl1522		
sheb1234		
wapi1254		
ator1244		
wapi1253	Negro-Roraima	initial
sout3131		
boli1260		
baur1253	Bolivia-Parana	initial
moxo1235		
moxo1234		
igna1246	Bolivia-Parana	initial
trin1274		
paun1241		
tere1279	Bolivia-Parana	initial
uncl1518		
apol1242		
magi1242		
kamp1244		
prea1240		
asha1244		
asha1241		
asha1242		
asha1243	Pre-Andine Arawakan	initial
ashe1271		
ajyi1238		
ashe1272		
pich1237		
ucay1237		
ashe1274		
ashe1273	Pre-Andine Arawakan	initial
sout3127		
caqu1242		
mats1245		
mach1267	Pre-Andine Arawakan	initial
nant1250		
noma1263	Pre-Andine Arawakan	initial
yane1238	Yanesha'	initial
puru1269		
cham1317		
cham1318		
mori1273		
puru1265		
apur1254	Purus	initial
inap1242		
uncl1523		
cara1273		
yine1239		
mach1268		
piro1249		
mash1270		
yine1238	Purus	initial
araw1282	isolate	
arua1263		
madi1262		
jama1261		
madi1263		
culi1244	Arauan	initial
deni1241	Arauan	initial
paum1247	Arauan	initial
suru1263		
arti1236	isolate	
afri1275		
bala1318		
blis1239		
brit1244		
dutt1234		
efat1240		
efat1235		
eska1234		
espe1236		
espe1235		
idoo1234		
inte1239		
inte1260		
inte1261		
inte1262		
inte1263		
klin1234		
kota1280		
laad1235		
lada1245		
ling1267		
lojb1234		
neoa1234		
nkoa1234		
novi1234		
pala1356		
quen1234		
renn1236		
roma1338		
sind1281		
talo1253		
toki1239		
vola1234		
arut1244	isolate	
atac1235	isolate	initial
atak1252	isolate	initial
atha1245	isolate	
atha1246		
atha1247		
apac1239		
kiow1264		
sout3151		
east2723		
jica1244	Athapaskan	initial
lipa1241		
west2810		
mesc1238	Athapaskan	initial
nava1243	Athapaskan	initial
west2615	Athapaskan	initial
cent2370		
carr1250		
babi1235		
carr1248		
carr1249	Athapaskan	initial
sout2958		
chil1280		
cent2371		
gwic1236		
gwic1235	Athapaskan	initial
hann1241		
koyu1238		
dege1248	Athapaskan	initial
holi1241		
koyu1237	Athapaskan	initial
tana1299		
tana1298		
lowe1425	Athapaskan	initial
uppe1438	Athapaskan	initial
uppe1472		
tana1290	Athapaskan	initial
uppe1437		
tutc1236		
nort2941	Athapaskan	initial
sout2957		
nort3354		
chip1261	Athapaskan	initial
cord1235		
beav1237		
beav1236		
seka1250		
tahl1238		
kask1239		
tagi1240		
tahl1239		
hare1243		
dogr1252		
slav1253	Athapaskan	initial
nort2942		
sout2959	Athapaskan	initial
paci1277		
cali1245		
hupa1239	Athapaskan	initial
kato1244	Athapaskan	initial
matt1238	Athapaskan	initial
wail1244		
kwal1258		
oreg1242		
rogu1236		
coqu1236		
gali1261		
tutu1242	Athapaskan	initial
tolo1259		
uppe1436		
sars1236	Athapaskan	initial
sout3337		
ahte1237	Athapaskan	initial
tana1289	Athapaskan	initial
tset1236		
eyak1241	Eyak	initial
tlin1245	Tlingit	initial
atla1278	isolate	
gola1255	Gola	initial
limb1267		
east2387		
west2450		
mans1259		
mela1257		
bull1245		
bull1246		
nort3167		
bomk1234		
bull1247		
sher1258		
kiss1245	Southern Mel	initial
nort2765		
sout2778	Southern Mel	initial
temn1245		
baga1270		
baga1272	Northern Mel	initial
baga1273		
land1256		
timn1235	Northern Mel	initial
nort3146		
cang1245		
palo1244		
ndut1239	Cangin	initial
palo1243	Cangin	initial
saaf1239		
noon1244		
leha1242		
noon1242	Cangin	initial
saaf1238		
cent2230		
bakk1238		
bala1300	Balanta	initial
bala1301		
bala1302		
jool1234		
jola1264		
bayo1262		
aram1260		
bayo1255		
fhjo1234		
jola1262	Jola	initial
pfjo1234		
here1250		
ejam1238		
kera1248		
kwat1245		
karo1293		
karo1294		
mlom1238		
kuwa1246		
gusi1245		
band1340		
gusi1246		
jola1263	Jola	initial
manj1250		
curb1234		
mand1419	Manjaku	initial
pape1239		
mank1251	Manjaku	initial
bijo1239		
bidy1244		
kamo1256		
jaad1234		
bady1239		
biaf1240	Jaad	initial
nalu1241		
baga1275		
mbul1258		
nalu1240		
peul1234		
fula1264		
borg1235		
fula1265		
adam1260		
adam1253	Peul-Serer	initial
bagi1244		
cent2018		
nige1253	Peul-Serer	initial
maas1239	Peul-Serer	initial
pula1262	Peul-Serer	initial
