glottocode	genus	confidence
kata1264		
nort3270		
sout3251		
west2870		
sooo1254		
west2397	Katuic	initial
kuys1235		
kuyy1240		
nyeu1238		
khas1273		
khas1268		
khas1274		
khas1275		
khas1269	Khasian	initial
pnar1238		
lyng1240		
lyng1241		
mega1243		
warj1242		
pala1352		
dana1252		
east2331		
angk1246		
east2776		
sout3232		
huuu1240		
manm1238		
mokk1243		
tail1246		
uuuu1243		
khao1243		
bitt1240		
khan1274		
lame1256		
waic1245		
bula1260		
blan1242		
samt1238		
wala1271		
lawa1256		
east2330		
west2396		
waaa1245		
awac1238		
nucl1290		
para1301	Palaungic	initial
xiyu1235		
west2791		
pala1336		
ruch1235		
shwe1236	Palaungic	initial
rian1260		
rian1261		
yinc1238		
ruma1248		
khme1253		
cent1989	Khmer	initial
nort2684		
oldk1249		
khmu1236		
khmu1255		
khmu1256	Khmuic	initial
khue1238		
phay1242		
pram1235		
oduu1239		
phon1246		
thee1239		
puoc1238	Khmuic	initial
tini1248		
mlab1235	Khmuic	initial
tinn1239		
mall1246		
phai1238		
mang1377		
boly1240		
boly1239		
buga1247		
mang1378		
moni1258		
monn1252	Monic	initial
nyah1250	Monic	initial
oldm1242		
mund1335		
gata1239		
guto1244		
bodo1267	Munda	initial
bond1245	Munda	initial
juan1238	Munda	initial
khar1287	Munda	initial
nort3151		
kher1245		
mund1336		
asur1255		
asur1254		
bijo1238		
birh1242		
homu1234		
hooo1248	Munda	initial
mund1320	Munda	initial
koda1236		
koda1256		
koda1254		
korw1242		
majh1236		
turi1246		
sant1457		
kolb1241		
maha1291		
sant1410	Munda	initial
kork1243	Munda	initial
sora1255		
pare1266		
sora1256		
jura1242		
sora1254	Munda	initial
nico1262		
carn1240	Nicobarese	initial
nucl1758		
cent2305		
cent1990	Nicobarese	initial
sout2689		
chow1240		
chau1258		
tere1272		
pear1246		
pear1247		
west2394		
cent2314		
chon1284	Pearic	initial
somr1240		
sout2684		
saoc1239		
suoy1242		
viet1250		
chut1252		
aheu1239		
chut1246		
arem1240		
chut1247		
male1282		
cuoi1242		
hung1275		
thoo1240		
viet1251		
muon1245		
muon1246	Vietic	initial
nguo1239		
viet1252	Vietic	initial
aust1307	isolate	
atay1246		
atay1247	Atayalic	initial
taro1264	Atayalic	initial
bunu1267		
east2493		
cent2103		
amis1246	East Formosan	initial
saki1247		
nort2900		
basa1287		
kava1241		
keta1243		
sira1267	East Formosan	initial
mala1545		
aruu1241		
batu1262		
batu1258		
mari1430		
cent2309		
dobe1243		
dobe1238	Central Malayo-Polynesian	initial
koba1240		
lola1248		
lora1237		
mano1275		
east2465		
kare1350		
bara1367		
kare1339		
ujir1238		
kola1292		
kola1285	Central Malayo-Polynesian	initial
komp1237		
ujir1237		
west2538	Central Malayo-Polynesian	initial
atii1237		
basa1291		
basa1286		
grea1283		
bari1287		
ampa1239		
tunj1244		
dusu1269		
dusu1271		
nort2888		
lawa1257		
tawo1243		
nort2891		
kohi1250		
otda1235		
sian1254		
sama1302		
inab1237		
sulu1242		
born1254		
indo1317	Sama-Bajaw	initial
mapu1244		
west2560	Sama-Bajaw	initial
inne1244		
bala1311	Sama-Bajaw	initial
cent2092		
sout2918	Sama-Bajaw	initial
pang1291		
yaka1277	Sama-Bajaw	initial
sout2919		
dusu1267		
maan1240		
maan1238	Barito	initial
paku1239		
mala1537		
nort3196		
bush1250		
cent2382		
plat1254	Barito	initial
sout2920		
nort3207		
anta1255		
tsim1259		
nort2890		
tsim1257		
sout3174		
sout3346		
nucl1799		
inla1273		
bara1407		
bara1369		
tano1246		
saka1299		
masi1268		
saka1291		
maha1309		
tesa1236		
tand1256		
sout2921		
baku1263		
ngaj1237	Barito	initial
bata1315		
ibat1238	Batanic	initial
yami1257		
ivat1242		
yami1254	Batanic	initial
bili1253		
gian1241		
tbol1241		
blaa1241		
koro1310		
sara1326		
tbol1240	Bilic	initial
tiru1241	Bilic	initial
bima1248		
bima1247	Central Malayo-Polynesian	initial
flor1239		
keda1252	Central Malayo-Polynesian	initial
lama1293		
alor1247		
flor1242		
lama1277	Central Malayo-Polynesian	initial
lewo1244		
puka1244		
lama1278		
nort3216		
adon1237		
ilea1237		
lama1294		
levu1240		
levu1239		
sout2896		
west2541		
lama1297		
lama1279		
lewo1243		
sika1262	Central Malayo-Polynesian	initial
flor1240		
flor1241		
mang1430		
kepo1237		
komo1261		
mang1436		
mang1405	Central Malayo-Polynesian	initial
riun1237		
remb1250		
waer1238		
rajo1237		
waer1237		
ngad1265		
ngad1266		
ende1245		
ende1247		
ende1246		
lioo1240		
nage1238		
keoo1238	Central Malayo-Polynesian	initial
nage1237		
ngad1267		
namu1249		
ngad1261	Central Malayo-Polynesian	initial
rong1269		
palu1252		
sumb1242		
hawu1234		
dhao1237		
sabu1255	Central Malayo-Polynesian	initial
sumb1243		
kamb1320		
cent2307		
anak1240		
bali1287		
wanu1241		
kamb1299	Central Malayo-Polynesian	initial
mamb1305		
kodi1251		
kodi1247		
ngga1239		
wewe1239		
lamb1273		
weje1237		
sang1334		
cele1242		
grea1299		
east2488		
salu1251		
east2491		
bala1315	Celebic	initial
bang1368	Celebic	initial
tali1261		
kada1286		
tali1262		
west2571		
andi1257		
salu1252		
batu1263		
batu1260		
salu1253		
bobo1255		
sout2928		
bung1268		
east2489		
east2490		
baho1237		
bung1269		
koro1311		
kuli1254		
mori1268		
talo1252		
wawo1239		
moro1287		
west2566		
inte1258		
mori1269		
pado1242	Celebic	initial
toma1248		
west2567		
kode1237		
raha1237		
tola1247		
waru1266		
muna1246		
nucl1573		
buto1237		
ciac1237		
east2751		
kumb1274		
lasa1237		
muni1256		
buso1238		
muni1259		
kaim1241		
west2847		
kiok1239		
liab1237		
muna1247	Celebic	initial
panc1247		
tuka1246		
bone1254		
tuka1247	Celebic	initial
tuka1248		
tuka1249		
tomi1242		
nort2897		
dond1249		
lauj1238	Celebic	initial
tomi1243		
sout2925		
bala1314		
damp1237		
pend1242		
taje1237		
taji1246		
kail1255		
nort2898		
kail1254		
comm1248		
bara1371		
daak1235	Celebic	initial
ledo1238	Celebic	initial
unde1235		
kula1284		
lind1248		
moma1242		
sedo1237		
pamo1251		
pamo1252	Celebic	initial
tomb1245		
topo1243		
umas1234		
saru1242		
umaa1242	Celebic	initial
wotu1239		
isla1281		
kala1393		
kala1394		
laiy1246		
woli1240		
kama1364		
woli1241	Celebic	initial
wotu1240		
cent2080		
pamp1243	Central Luzon	initial
remo1247		
samb1319		
abel1234		
aben1249		
boto1242		
amba1267		
bata1297		
maga1270		
maga1263		
magi1241		
tina1255		
boli1256		
tina1248		
cham1312	Chamorro	initial
east2712		
ocea1241		
admi1239		
east2459		
manu1262		
east2460		
andr1248		
koro1314		
bowa1234		
lele1270		
nali1245		
tita1241		
kurt1251		
eree1241		
kele1258	Oceanic	initial
kurt1252		
eluu1241		
kurt1250		
leip1237		
pona1250		
moko1244		
loni1238	Oceanic	initial
moke1240		
pakt1239		
west2533		
west2848		
bipi1237		
herm1237		
nyin1250		
sori1242		
west2849		
liku1245		
kheh1237		
liku1243		
mond1265		
tulu1259		
sout2879		
lenk1247		
loup1244		
balu1257		
louu1245	Oceanic	initial
naun1237		
penc1239		
west2532		
anch1239		
kani1282		
kani1283		
seim1238		
wuvu1239		
cent2060		
east2445		
east2446		
laua1243		
nucl1823		
gone1237		
viwa1234		
fiji1243	Oceanic	initial
loma1261		
poly1242		
nucl1485		
anut1237		
east2447	Oceanic	initial
east2758		
niua1240	Oceanic	initial
niua1241		
wall1257	Oceanic	initial
elli1239		
puka1245		
puka1242		
samo1310		
samo1305	Oceanic	initial
toke1240	Oceanic	initial
tuva1244	Oceanic	initial
nort3246		
nort3235		
kapi1249	Oceanic	initial
nuku1260	Oceanic	initial
solo1260		
cent2298		
cent2299		
onto1237	Oceanic	initial
taku1258		
nuku1258		
nuku1259		
taku1257		
east2449		
east2895		
fare1245		
mang1401		
rapa1244	Oceanic	initial
marq1246		
nort2845		
sout2866		
east2896		
hawa1245	Oceanic	initial
sout3383		
maor1246	Oceanic	initial
penr1237		
raka1237		
rapa1245		
raro1241		
tahi1244		
aust1304		
tahi1242	Oceanic	initial
tuam1242	Oceanic	initial
sika1261		
pile1238	Oceanic	initial
renn1242	Oceanic	initial
tiko1237		
vanu1245		
emae1237	Oceanic	initial
mele1252		
futu1245	Oceanic	initial
mele1250	Oceanic	initial
west2516		
tong1324		
niue1239	Oceanic	initial
tong1325	Oceanic	initial
rotu1241	Oceanic	initial
west2518		
namo1248		
west2519	Oceanic	initial
micr1243		
cent2276		
gilb1244	Oceanic	initial
west2844		
mars1254	Oceanic	initial
pona1247		
pona1248		
moki1238	Oceanic	initial
ping1243	Oceanic	initial
pohn1238	Oceanic	initial
truk1243		
nucl1749		
cent2290		
east2764		
mort1238		
chuu1238	Oceanic	initial
mort1237		
pulu1244		
poll1238		
pulu1242	Oceanic	initial
sata1238		
macr1274		
caro1242	Oceanic	initial
muri1261		
paaf1237		
tana1281		
namo1247		
sata1237		
mapi1250		
wole1240	Oceanic	initial
west2855		
sons1245		
sons1242	Oceanic	initial
tobi1238		
ulit1238	Oceanic	initial
kosr1239		
kosr1238	Oceanic	initial
naur1243	Oceanic	initial
nort3195		
cent2269		
ambr1240		
lonw1238	Oceanic	initial
nort2839		
port1292		
orko1234		
port1293		
dalk1234		
sout3403		
daka1243		
port1286		
sout2859	Oceanic	initial
epie1239		
efat1236		
nort3222		
lele1267		
nort2836	Oceanic	initial
sout3196		
eton1255		
sout2856	Oceanic	initial
epii1237		
baki1243		
baki1244		
bier1244		
bier1245		
bier1246		
maii1238		
lame1259		
lame1260	Oceanic	initial
lewo1242	Oceanic	initial
mala1539		
east2753		
cent2315		
aulu1238	Oceanic	initial
burm1263		
sout3239		
bwen1239		
mask1242		
nasv1235		
nasv1234		
nisv1234		
port1295		
avok1244		
axam1237		
port1285	Oceanic	initial
unua1238		
rere1240		
unua1237		
urip1239	Oceanic	initial
nort3223		
malu1245		
nort3230		
boto1250		
mpot1241		
vaoo1237		
nese1235		
west2871		
cent2316		
lare1249		
ling1265		
litz1237		
vinm1237	Oceanic	initial
peri1262		
nind1243		
labo1244		
nati1244		
nort3261		
bign1238	Oceanic	initial
maee1241		
mara1399		
sout3240		
dixo1238		
katb1237		
lete1241		
nasa1240		
navw1234		
sout3197		
malf1237		
sout2857		
uncl1500		
niti1250		
niti1249		
vivt1234		
nama1268		
paam1238	Oceanic	initial
sout3188		
apma1240		
saaa1241		
seke1242		
seke1241		
sowa1244		
nort3205		
amba1270		
east2443	Oceanic	initial
west2513		
espi1234		
nucl1793		
east2754		
mafe1238		
mafe1237		
tutu1241		
sout3220		
butm1237		
polo1242		
tamb1253		
shar1251		
lore1244		
shar1244		
sout3339		
aore1237		
arak1257		
arak1252	Oceanic	initial
tang1347		
malo1243	Oceanic	initial
rori1237		
saka1289	Oceanic	initial
west2956		
fort1240		
nort3217		
noku1237		
piam1242		
tasm1246		
valp1237		
vuna1239		
sout3194		
ambl1237		
moro1286		
nara1263		
tial1241		
mere1242		
navu1237		
tial1239		
tolo1255		
west2845		
akei1237		
wail1242		
wusi1237		
hano1246	Oceanic	initial
maew1234		
baet1237		
cent2058		
mari1426		
torr1262		
hiwl1234		
hiww1237		
loto1240		
koto1266		
koro1308		
lako1245		
leha1243		
leha1244		
leme1240		
leme1238		
vera1241		
merl1237		
mota1237		
motl1237	Oceanic	initial
nume1241		
vure1239		
weta1242		
sout2853		
guad1241		
nucl1470		
ngge1240		
bugh1239		
gela1263	Oceanic	initial
nort2832		
ghar1239		
leng1259		
mala1484		
sout2854		
bira1254		
tali1259		
mala1485		
long1395	Oceanic	initial
mala1540		
mala1542		
nort2833		
gula1270		
kwai1243	Oceanic	initial
kwar1239		
nort3284		
baeg1237		
bael1237		
fata1245		
lauu1247	Oceanic	initial
toab1237	Oceanic	initial
wala1266		
sout3198		
area1240	Oceanic	initial
dori1246		
oroh1237		
saaa1240	Oceanic	initial
sanc1243		
aros1241	Oceanic	initial
baur1252		
faga1239		
kahu1241		
owaa1237		
sout3173		
newc1243		
loya1239		
dehu1237	Oceanic	initial
iaai1238	Oceanic	initial
neng1238	Oceanic	initial
main1286		
nort3325		
extr1244		
kumn1236		
caac1237		
kumn1237		
kuma1276	Oceanic	initial
yuag1237		
nyal1256		
bala1316		
nyal1254	Oceanic	initial
nort3211		
jawe1237		
nmip1235		
nmif1235		
hyen1234		
fwai1237	Oceanic	initial
nemi1240		
pije1237		
pwaa1237		
pwap1237		
vohk1236		
cemp1235		
cemu1238	Oceanic	initial
paic1239		
vohk1234		
bwat1242		
haek1241		
bwat1240		
haek1239		
have1241		
hmwa1243		
vama1243		
waam1236		
sout3313		
extr1245		
dumb1241	Oceanic	initial
nume1242		
mids1246		
houa1234		
ajie1238	Oceanic	initial
arha1237		
arho1237		
neku1237		
orow1242		
tiri1258	Oceanic	initial
xara1243		
xara1244	Oceanic	initial
zire1240		
sout2868		
anei1239	Oceanic	initial
erro1239		
ifoo1237		
siee1239	Oceanic	initial
urav1235	Oceanic	initial
tann1242		
nort3218		
lena1238	Oceanic	initial
whit1270		
nort2847		
whit1269		
sout3195		
kwam1252	Oceanic	initial
sout2869	Oceanic	initial
stma1240		
muss1246	Oceanic	initial
teni1244		
temo1244		
reef1242		
ayiw1239	Oceanic	initial
nang1262		
natu1250		
nalo1235		
natu1246	Oceanic	initial
utup1237		
tane1237		
tean1237	Oceanic	initial
utup1238		
amba1266		
asum1237		
tani1255		
vano1237		
west2818		
meso1253		
bali1280	Oceanic	initial
mudu1242		
unea1237		
newi1242		
mada1284		
baro1253		
lava1239		
mada1285		
stge1234		
kand1307		
kand1301		
ramo1244		
kono1269		
labe1241		
bilu1244		
labe1239		
nort3225		
choi1242		
east2760		
riri1237		
sout3208		
baba1268	Oceanic	initial
sisi1250		
west2856		
vagh1249		
vari1239		
mono1280		
mono1273	Oceanic	initial
tora1259		
urua1242		
neha1246		
nucl1750		
buka1262		
hali1243		
hako1237		
hali1244	Oceanic	initial
peta1245		
sapo1252		
sapo1253	Oceanic	initial
tinp1238		
haho1237		
teop1238	Oceanic	initial
tinp1237		
neha1247	Oceanic	initial
papa1265		
solo1257		
newg1239		
east2761		
maro1247		
maro1244		
vang1243		
rovi1239		
hoav1239		
hoav1238	Oceanic	initial
kusa1251		
rovi1238	Oceanic	initial
ughe1237		
kazu1245		
west2857		
duke1237		
simb1260		
ghan1246		
ghan1242		
lung1249		
simb1256		
piva1237		
bann1247	Oceanic	initial
lawu1237		
sant1458		
cent2063		
koko1269	Oceanic	initial
zaza1247		
blab1237		
zaza1245		
east2452		
chek1238	Oceanic	initial
gaoo1237		
west2523		
lagh1246		
zaba1237		
patp1244		
mini1257		
gura1254		
kuan1248	Oceanic	initial
mini1251		
patp1243	Oceanic	initial
siar1238	Oceanic	initial
surs1246	Oceanic	initial
tang1348	Oceanic	initial
taba1270		
lihi1237		
mand1440		
nots1237		
tomo1244		
tung1294		
kara1486	Oceanic	initial
laku1238		
nali1244	Oceanic	initial
tian1237		
tiga1245	Oceanic	initial
tung1290	Oceanic	initial
will1243		
bola1253		
bola1250		
bulu1253		
naka1266		
mera1242		
naka1262	Oceanic	initial
nort3206		
huon1245		
mark1257		
lowe1411		
busu1245		
arib1240		
arib1241	Oceanic	initial
duwe1237		
muso1239		
muso1238	Oceanic	initial
nafi1237		
labu1248	Oceanic	initial
wamp1247		
uppe1423		
adze1240	Oceanic	initial
moun1250		
mari1429		
sara1323		
suku1264		
wamp1248		
watu1246		
midd1327		
nort2857		
sout2877		
nort2858		
buga1250		
kela1255	Oceanic	initial
yabe1254	Oceanic	initial
numb1247		
sout2878		
buan1245		
kapi1250		
mapo1247		
mang1404		
mapo1242		
mume1239		
damb1252		
damb1246		
kuma1278		
gora1262		
zena1251		
pate1247	Oceanic	initial
zena1237		
piuu1237		
vehe1237		
hote1244		
hote1245		
yama1260		
iwal1237		
nger1241		
nger1240		
east2772		
bari1286		
kali1298		
kove1237		
lusi1240	Oceanic	initial
west2862		
mala1489		
tuam1243		
gitu1237		
mutu1242		
viti1243		
belr1234		
bell1262		
astr1247		
awad1244		
mind1255		
wabb1237		
nucl1510		
bilb1241		
geda1237		
mari1428		
matu1261	Oceanic	initial
taki1248	Oceanic	initial
mato1252		
ronj1237		
kora1297		
arop1243	Oceanic	initial
karn1252		
mala1487		
murp1234		
male1289	Oceanic	initial
mbul1263	Oceanic	initial
meng1266		
lote1237		
mamu1256		
mamu1254		
meng1267		
sioo1240	Oceanic	initial
sout2874		
amar1272	Oceanic	initial
araw1269		
araw1283		
east2763		
akol1237		
avau1237		
lesi1239		
west2530		
aikl1237		
apal1255		
gimi1242		
solo1258		
bebe1254		
bebe1252		
mang1403		
pasi1254		
aigh1235		
karo1298		
kaul1240	Oceanic	initial
miuu1237		
seng1281		
bibl1237		
lamo1244		
mouk1239		
tami1290		
sarm1241		
jaya1243		
kayu1243		
ormu1248		
toba1266	Oceanic	initial
sarm1242		
anus1238		
anus1237		
pode1237		
bong1287		
kapt1235		
masi1265		
sobe1239		
sobe1240		
liki1241		
sobe1238	Oceanic	initial
wakd1237		
tarp1240		
yamn1237		
scho1242		
kair1261		
kair1262		
kaie1238		
kaie1237		
tere1276		
kair1263	Oceanic	initial
mana1294		
bamm1241		
biem1237		
mana1301		
mana1295	Oceanic	initial
sepa1241		
kisw1234		
kiss1246		
woge1237		
mede1237		
siau1243		
siss1244		
alit1234		
kapp1237		
tuml1238	Oceanic	initial
sera1271		
sera1260		
siss1245		
arop1242		
malo1245		
siss1243		
ulau1237		
papu1253		
nucl1744		
nort2848		
anuk1239		
aret1241		
arei1235		
ared1234		
aree1239		
doga1238		
arif1239		
boan1246		
gapa1238	Oceanic	initial
ghay1237		
kani1281		
ubir1237		
mais1250	Oceanic	initial
taup1241		
mina1269	Oceanic	initial
nucl1794		
east2762		
gwed1239		
haig1237		
maiw1249		
taup1244		
taup1242		
waem1237		
tawa1275	Oceanic	initial
weda1242		
weda1241	Oceanic	initial
yaka1275		
bwai1241		
bwai1244		
bwai1242		
idun1242	Oceanic	initial
diod1237		
iama1238		
iama1237		
maia1251		
kolu1245		
moli1248		
dobu1240		
bose1238		
bose1237		
gale1257		
buna1279		
buna1276		
mwat1237		
dobu1241		
duau1237		
sewa1251		
guma1254	Oceanic	initial
kaka1266		
dawa1242		
kaka1267		
suau1243		
auhe1237		
buhu1237		
bwan1241		
oyao1237		
suau1244		
sali1295	Oceanic	initial
suau1242		
unub1234		
waga1268		
peri1258		
cent2070		
oumi1237		
mago1247		
bina1271		
mago1248		
yoba1237		
ouma1237		
sina1272		
hula1245		
hula1239		
keap1239		
sina1266	Oceanic	initial
west2850		
abad1241		
motu1246	Oceanic	initial
nucl1506		
kuni1263		
lala1268	Oceanic	initial
meke1243	Oceanic	initial
tour1243		
waim1251	Oceanic	initial
kili1270		
kili1266		
budi1249		
kili1271		
kili1267	Oceanic	initial
muyu1244	Oceanic	initial
misi1243		
nimo1245		
nimo1246		
sude1239	Oceanic	initial
yape1250		
ngul1236		
yape1248	Yapese	initial
sout3229		
cend1238		
biak1249		
biak1250		
biak1248	South Halmahera - West New Guinea	initial
roon1237		
dusn1237		
meos1237		
sout3230		
yaur1240		
ires1239		
yaur1239		
yere1243		
yape1249		
cent2277		
ansu1238		
amba1265	South Halmahera - West New Guinea	initial
ansu1237		
mara1397		
wand1267		
woii1237		
cent2308		
mung1269		
papu1251		
pomm1237		
seru1248		
busa1254		
seru1244		
east2438		
kuru1305		
wabo1240		
lowe1409		
ware1253	South Halmahera - West New Guinea	initial
yoke1239		
pauw1243		
yoke1238		
morm1235	South Halmahera - West New Guinea	initial
raja1255		
ambe1249		
biga1238		
waig1244		
asss1237		
maya1288		
matb1237		
raja1258		
kawe1240		
lege1241		
maya1282	South Halmahera - West New Guinea	initial
wauy1237		
sala1285		
bata1295		
made1253		
sout3231		
cent2270		
buli1255	South Halmahera - West New Guinea	initial
maba1278		
pata1260		
sawa1247	South Halmahera - West New Guinea	initial
east2439		
east2440	South Halmahera - West New Guinea	initial
gane1237		
gebe1237		
tand1253		
waro1242	South Halmahera - West New Guinea	initial
engg1245	Enggano	initial
grea1284		
cent2246		
alab1255		
alab1246		
cama1250		
biko1240		
coas1315		
cent2087	Greater Central Philippine	initial
sout2912		
inag1234		
isar1235		
mtir1235		
mtir1236		
inla1266		
alba1269		
irig1242		
nort2883		
bisa1268		
bant1288		
cebu1242	Greater Central Philippine	initial
cent2263		
peri1261		
bant1293		
capi1240		
capi1239		
hili1240	Greater Central Philippine	initial
masb1239		
masb1237		
masb1238		
poro1253		
romb1245		
wara1304		
sama1315		
bayb1234		
kina1252		
wara1300	Greater Central Philippine	initial
wara1299		
negr1236		
karo1299		
maga1264		
sout3175		
butu1243		
butu1244		
taus1251	Greater Central Philippine	initial
suri1274		
suri1273		
tand1258		
unun9997		
ataa1240		
west2820		
akla1240		
inon1237		
kina1255		
kina1250		
sulo1237		
kuya1251		
cuyo1237		
data1234		
calu1238		
rata1245		
mama1275	Greater Central Philippine	initial
mans1261		
dava1245		
east2477		
kara1489		
mans1262		
kama1363		
west2552		
kaga1259		
kaga1255		
kala1388		
taga1268		
taga1280		
kasi1256		
taga1269		
fili1244		
taga1270	Greater Central Philippine	initial
dana1253		
iran1262		
magu1243	Greater Central Philippine	initial
mara1404	Greater Central Philippine	initial
goro1257		
goro1273		
bint1245		
bola1252		
buol1237		
goro1259	Greater Central Philippine	initial
kaid1239		
lola1250		
suwa1241		
mong1346		
mong1342	Greater Central Philippine	initial
pono1240		
mano1276		
cent2255		
east2778		
east2742		
cent2088		
atam1240		
mati1250	Greater Central Philippine	initial
east2478		
agus1235		
diba1242		
raja1254		
west2829		
obom1235		
west2554		
ilia1236		
west2555	Greater Central Philippine	initial
sout2913		
sara1347		
cota1241		
sara1327		
taga1272		
nort2884		
kaga1256		
kina1254		
buki1251		
binu1244	Greater Central Philippine	initial
higa1237		
cina1236		
pala1354		
nort3185		
bata1317		
bata1301	Greater Central Philippine	initial
cent2090		
tagb1258	Greater Central Philippine	initial
sout3165		
molb1238		
molb1237		
nucl1738		
broo1240		
broo1239		
sout2916		
cent2091		
taut1234		
sout2915		
buhi1244		
bata1318		
east2482		
west2559		
buhi1245		
hanu1241	Greater Central Philippine	initial
suba1253		
nucl1726		
east2769		
cent2089		
east2694		
nort2885		
lapu1236		
west2811		
koli1253		
west2557		
umir1236		
grea1302		
band1354		
band1355		
gese1239		
gese1241		
bati1253		
gese1240		
kowi1239		
watu1247		
east2741		
east2748		
bobo1254		
masi1266		
seti1249		
beng1287		
hoti1237		
lian1255		
sala1269		
java1253		
kawi1241		
mode1251		
glob1245		
cari1276		
java1254	Javanese	initial
newc1244		
osin1237		
teng1272		
kala1389		
agut1237		
cala1258		
lamp1241		
lamp1242		
pesi1234		
kome1238	Lampungic	initial
lamp1243	Lampungic	initial
land1261		
beny1238		
baka1275		
beka1241		
rara1236		
rara1235		
sara1329		
beny1237		
bida1239		
bida1240		
buka1257	Land Dayak	initial
cent2415		
baub1235		
biat1246	Land Dayak	initial
trin1271		
sout2922		
jang1257		
kemb1249		
ribu1241		
sang1339		
sema1269	Land Dayak	initial
mala1536		
madu1247		
kang1289		
nucl1460	Malayo-Sumbawan	initial
nort3170		
bali1277		
bali1278	Malayo-Sumbawan	initial
sasa1248		
sasa1249		
sumb1241		
cham1327		
achi1257	Malayo-Sumbawan	initial
cham1330		
coas1305		
cham1328		
east2563	Malayo-Sumbawan	initial
west2650	Malayo-Sumbawan	initial
haro1237		
high1280		
chru1238		
chru1240		
cacg1235		
chru1239	Malayo-Sumbawan	initial
sout3010		
nort3219		
nort2994	Malayo-Sumbawan	initial
tsat1238	Malayo-Sumbawan	initial
rade1241		
biha1246		
jara1266		
rade1240	Malayo-Sumbawan	initial
mala1538		
duan1242		
haji1235		
iban1263		
iban1269		
iban1270		
nort3387		
iban1264	Malayo-Sumbawan	initial
remu1237		
sebe1242		
mual1241		
keni1248		
mala1480	Malayo-Sumbawan	initial
nucl1806		
beta1260		
beta1252	Creoles and Pidgins	initial
coco1260		
pera1256		
cent2391		
kubu1239		
musi1243		
coll1240		
musi1241		
east2755		
banj1240		
banj1241		
banj1239		
buki1247		
bera1266		
bera1262		
brun1252		
brun1246		
baca1243		
brun1242		
saba1263		
kota1275		
high1292		
cent2053		
kaur1269		
nort3388		
bang1370		
bang1365		
lonc1237		
jamb1236		
keri1253		
keri1250		
mina1280		
lubu1241		
mina1268	Malayo-Sumbawan	initial
nege1240	Malayo-Sumbawan	initial
peka1242		
sing1270		
bali1279		
jaku1244		
keda1253		
keda1251		
patt1249		
urak1238	Malayo-Sumbawan	initial
mala1479	Malayo-Sumbawan	initial
oran1258		
oran1259		
temu1239		
teng1267	Malayo-Sumbawan	initial
stan1327		
indo1316		
stan1306	Malayo-Sumbawan	initial
vehi1234		
baba1267		
east2743		
ambo1253		
ambo1250		
band1353		
kupa1239		
lara1260		
mana1300		
gora1261		
mala1481	Malayo-Sumbawan	initial
nort2828		
papu1250	Malayo-Sumbawan	initial
maka1305		
mala1482		
sril1245		
oldm1243		
west2821		
kend1254		
ment1251		
sund1252	Malayo-Sumbawan	initial
mina1272		
nort2886		
nort2887		
tomb1243		
tond1251	Minahasan	initial
tons1240		
tont1239	Minahasan	initial
tons1239		
moke1241		
moke1242		
mokl1243		
nasa1239		
nort2829		
gayo1244	Northwest Sumatra-Barrier Islands	initial
nucl1463		
ment1248		
ment1249	Northwest Sumatra-Barrier Islands	initial
nias1241		
nias1242	Northwest Sumatra-Barrier Islands	initial
siku1242	Northwest Sumatra-Barrier Islands	initial
sime1241	Northwest Sumatra-Barrier Islands	initial
toba1265		
nort2831		
bata1292	Northwest Sumatra-Barrier Islands	initial
bata1293	Northwest Sumatra-Barrier Islands	initial
bata1294		
sout3166		
bata1288		
sout2849		
angk1248		
bata1290		
bata1291		
bata1289	Northwest Sumatra-Barrier Islands	initial
nort2873		
alan1249		
iray1237		
tady1237		
nort3238		
arta1239		
caga1241		
iban1268		
adas1235		
atta1244		
fair1238		
pamp1244		
pudt1235		
gadd1245		
caga1242		
gada1258		
gadd1244		
cent2084	Greater Central Philippine	initial
itaw1240	Northern Luzon	initial
yoga1237		
iban1267	Northern Luzon	initial
mala1534		
isna1241	Northern Luzon	initial
ilok1237	Northern Luzon	initial
meso1254		
nort2875		
sout2905		
sout3211		
cent2296		
kali1310		
itne1252		
bino1237		
inla1260		
kali1311		
cent2282		
lubu1243		
sout3203		
butb1235		
sout2908		
sout3207		
lowe1412		
madu1248		
masa1325		
masa1307		
moya1235		
nort3226		
limo1248		
nort3231		
bana1288		
maba1279		
nucl1754		
bala1310	Northern Luzon	initial
bont1246		
bont1247		
cent2292	Northern Luzon	initial
fina1242		
kank1245		
kank1243	Northern Luzon	initial
maen1236		
maen1235		
nort2877		
ifug1247		
amga1235		
bata1319		
bata1298	Northern Luzon	initial
mayo1262		
tuwa1243		
isin1239		
sout2907		
ilon1239		
west2550		
nucl1542		
ibal1244		
iwak1237		
kall1244		
ahin1234		
kele1259		
kara1487	Northern Luzon	initial
pang1290	Northern Luzon	initial
nort3187		
dupa1235	Greater Central Philippine	initial
nucl1755		
casi1235	Northern Luzon	initial
para1320		
agta1234		
para1306		
unun9992		
dica1235		
nort3253		
kaya1335		
kaya1336		
kaya1333		
baha1257		
bara1370	North Borneo	initial
kaya1325		
mend1267		
reja1244		
busa1255		
kaya1324		
reja1241		
muri1259		
moda1243		
moda1244		
sega1243		
nort3171		
bera1263		
bera1264		
cent2097		
cent2098		
east2486		
west2564		
cent2094		
cent2272		
bela1260		
kipu1237		
tuto1241		
cent2273		
lela1246		
naro1251	North Borneo	initial
bint1246		
